PanelID,PCB1,PCB2,PCB3,PCB4,PCB5,PCB6,PCB7,PCB8,PCB9,PCB10,PCB11,PCB12,PCB13,PCB14,PCB15,PCB16,PCB17,PCB18,PCB19,PCB20,PCB21,PCB22,PCB23,PCB24,Operator,CreatedAt,Status,SourceFile
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="Christopher",="2025-11-23 19:34:56",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="Christopher",="2025-11-23 19:35:13",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="ABC00121",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="christopher",="2025-11-23 19:44:24",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="gferf",="2025-11-23 19:45:33",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="dgdg",="2025-11-23 19:52:54",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="uyu8u",="2025-11-23 20:01:17",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="uyu8u",="2025-11-23 20:01:30",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="uyu8u",="2025-11-23 20:02:24",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fedswfe",="2025-11-23 20:05:07",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fedswfe",="2025-11-23 20:05:22",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="dsdfbbgs",="2025-11-23 20:15:53",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="dsdfbbgs",="2025-11-23 20:16:07",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fhtrth",="2025-11-23 20:17:10",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="WT-P-00001",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fhtrth",="2025-11-23 20:17:31",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fhtrth",="2025-11-23 20:17:58",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="WT-P-00001",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fhtrth",="2025-11-23 20:18:08",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="1",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="gyugfgyu",="2025-11-23 20:27:49",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="gyugfgyu",="2025-11-23 20:28:05",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="1",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="gyugfgyu",="2025-11-23 20:28:29",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="gyugfgyu",="2025-11-23 20:36:05",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="1",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="djfjf",="2025-11-23 20:51:07",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="1",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="hh",="2025-11-23 22:16:43",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="hyy",="2025-11-23 22:34:37",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="ss",="2025-11-23 22:37:32",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="1",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="ss",="2025-11-23 22:38:54",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="ddd",="2025-11-23 22:40:14",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="dd",="2025-11-23 22:42:43",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="dd",="2025-11-23 22:44:41",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="ss",="2025-11-23 22:48:31",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fff",="2025-11-23 22:52:49",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="1",="ABC001",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="fff",="2025-11-23 22:53:42",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="dd",="2025-11-23 22:54:14",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
="3",="1234567890abcdef",="ABC002",="ABC003",="ABC004",="ABC005",="ABC006",="ABC007",="ABC008",="ABC009",="ABC010",="ABC011",="ABC012",="ABC013",="ABC014",="ABC015",="ABC016",="ABC017",="ABC018",="ABC019",="ABC020",="ABC021",="ABC022",="ABC023",="ABC024",="ddd",="2025-11-23 22:57:26",="Detected",="C:\Users\chris\Desktop\AVO_Invents_Automation\InputPanels\test_panel - Copy.csv"
